number_of_clicks,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names
159,AP,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073500
235,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090900
363,D,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_091900
404,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115200
733,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095800
1090,AV+D,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071400
77,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092500
397,AP,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071600
45,T,SSF,DEPL,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081700
749,AV+D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085600
0,AP,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132200
67,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085500
674,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064600
13,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_130900
16,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090800
191,D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090500
365,AV,SSF,DEPL,NC,16/07/2020,6,SSF,SCW1807_20200716_071100
457,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093700
74,D,SSF,CHAS,DOL1,16/07/2020,40,SSF,SCW1807_20200716_082700
329,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115800
244,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100600
957,AV+D,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064200
1028,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090800
211,D,F,DEPL,DOL1,16/07/2020,4,tremail,SCW1807_20200716_104800
264,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085600
659,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121200
70,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093000
47,AP,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092300
1273,D,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123500
1397,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115100
191,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135600
144,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093100
2,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092700
3,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_060000
57,AP,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_085000
0,D+AP,F,DEPL,DOL1_N26,17/07/2020,25,tremail,SCW1807_20200717_083900
103,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074000
463,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085700
221,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075900
2,AV,F,CHAS,NC,18/07/2020,6,chalut_vert,SCW1807_20200718_080600
1,AV,SSF,CHAS,NC,11/07/2020,15,SSF,SCW1807_20200711_082700
148,AP,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071700
397,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093500
160,D+AP,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065400
244,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075200
160,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081500
1901,D,SSF,DEPL,DOL7,13/07/2020,15,SSF,SCW1807_20200713_114300
16,AP,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082500
11,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072100
534,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064300
620,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085700
81,D,F,SOCI,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095900
721,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074700
135,D,F,DEPL,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095400
931,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121000
809,AP,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_102200
103,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_085900
14,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085700
1926,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081400
77,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093900
442,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070900
244,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071400
106,D+AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_082000
291,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075000
48,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084500
6,AP,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_084500
0,AP,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092400
25,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085200
18,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101900
604,D,F,DEPL,DOL1,16/07/2020,3,tremail,SCW1807_20200716_102400
81,AV+D,F,DEPL,DOL1_N26,17/07/2020,25,tremail,SCW1807_20200717_083800
706,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070800
1213,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115600
71,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140600
187,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085800
244,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100500
274,D+AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090000
480,AV,SSF,DEPL,NC,13/07/2020,15,SSF,SCW1807_20200713_114200
39,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094400
31,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081700
46,D+AP,SSF,DEPL,DOL7,13/07/2020,15,SSF,SCW1807_20200713_114400
29,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090600
1157,AV+D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083700
1141,T,F,DEPL,DOL3_N36,18/07/2020,2,chalut_vert,SCW1807_20200718_075400
33,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091400
2509,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090600
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091300
1516,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085400
1,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094200
177,D+AP,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123600
888,D,F,DEPL,DOL1_N26,17/07/2020,12,tremail,SCW1807_20200717_080900
8,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_102000
1168,D,F,SOCI,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095700
3,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085800
18,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115200
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073900
673,D,SSF,DEPL,DOL1_N26,17/07/2020,3,SSF,SCW1807_20200717_111800
0,AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094200
264,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071100
193,AV+D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_075900
130,AV,SSF,DEPL,NC,16/07/2020,40,SSF,SCW1807_20200716_082300
37,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101100
1721,D+AP,F,DEPL,DOL1,16/07/2020,8,tremail,SCW1807_20200716_101200
6,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074100
685,AV+D,F,DEPL,DOL1_N26,17/07/2020,12,tremail,SCW1807_20200717_080800
336,AV,SSF,DEPL,NC,09/07/2021,14,SSF,SCW6070_20210709_085500
2262,AV,SSF,DEPL,NC,09/07/2021,12,SSF,SCW6070_20210709_120800
542,D+AP,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_102100
68,AP,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_134900
36,D+AP,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090800
793,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064300
792,D,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065100
70,AV,F,DEPL,NC,12/07/2020,4,tremail,SCW1807_20200712_132600
1379,AV+D,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082200
333,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100000
1029,D,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_081200
244,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_103000
157,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093900
680,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093400
114,D+AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132100
124,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094400
846,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115000
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100600
197,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114500
734,T,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_063500
2135,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114100
4,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094100
53,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091100
257,D+AP,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115300
247,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090400
31,D+AP,F,DEPL,DOL1,16/07/2020,3,tremail,SCW1807_20200716_102600
13,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090700
285,AV,F,DEPL,NC,12/07/2020,6,tremail,SCW1807_20200712_132000
648,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_132900
150,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094800
237,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071500
1012,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115700
243,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073200
254,D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131800
244,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102900
1004,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_100900
54,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090500
827,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093600
407,AV+D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_084200
593,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093800
26,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094400
20,AV,F,DEPL,NC,17/07/2020,25,tremail,SCW1807_20200717_083700
1126,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095500
5,AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132200
450,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140700
56,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094300
553,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_114900
2602,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064400
722,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134500
331,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073400
13,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090000
18,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094300
308,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073900
502,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095700
4,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082000
1757,D,F,CHAS,DOL1,16/07/2020,4,tremail,SCW1807_20200716_085900
149,D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090600
812,AV+D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_085700
368,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070600
31,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142700
20,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081600
56,D+AP,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082400
469,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094400
17,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094500
45,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094000
1496,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073600
242,AV,F,DEPL,NC,16/07/2020,4,tremail,SCW1807_20200716_104600
585,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094100
