Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL,C-GR,FILET
09072021-avec_sondeur/SCW6070_20210709_120800.wav,09/07/2021,12:8,0,1,0,0,0,0,0,0,1,0,0,0,1,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_120900.wav,09/07/2021,12:9,0,0,1,0,0,0,0,0,1,0,1,0,0,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_121000.wav,09/07/2021,12:10,0,0,0,1,0,0,0,0,1,0,1,0,0,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_121100.wav,09/07/2021,12:11,0,0,0,1,0,0,0,0,1,0,1,0,0,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_121200.wav,09/07/2021,12:12,0,0,0,1,0,0,0,0,1,0,1,0,0,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_121300.wav,09/07/2021,12:13,0,0,0,0,1,0,0,0,1,0,1,0,0,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_121400.wav,09/07/2021,12:14,0,0,0,0,0,1,0,0,1,0,1,0,0,1,DC,12,SSF
09072021-avec_sondeur/SCW6070_20210709_121500.wav,09/07/2021,12:15,0,0,0,0,0,1,0,0,1,0,1,0,0,1,DC,12,SSF
11072021/SCW6070_20210711_055700.wav,11/07/2021,5:57,1,0,0,0,0,0,0,0,1,0,0,0,1,0,DC70,10,SSF
11072021/SCW6070_20210711_055800.wav,11/07/2021,5:58,1,0,0,0,0,0,0,0,1,0,0,0,1,0,DC70,10,SSF
11072021/SCW6070_20210711_055900.wav,11/07/2021,5:59,1,0,0,0,0,0,0,0,1,0,0,0,1,0,DC70,10,SSF
11072021/SCW6070_20210711_060000.wav,11/07/2021,6:0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,DC70,10,SSF
11072021/SCW6070_20210711_073300.wav,11/07/2021,7:33,0,1,0,0,0,0,0,0,1,0,1,0,0,0,DC70,5,SSF
11072021/SCW6070_20210711_073400.wav,11/07/2021,7:34,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_073500.wav,11/07/2021,7:35,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_073600.wav,11/07/2021,7:36,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_073700.wav,11/07/2021,7:37,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_073800.wav,11/07/2021,7:38,0,0,0,0,0,1,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_073900.wav,11/07/2021,7:39,0,0,0,0,0,0,1,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_074000.wav,11/07/2021,7:40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_074100.wav,11/07/2021,7:41,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DC70,5,SSF
11072021/SCW6070_20210711_074200.wav,11/07/2021,7:42,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DC70,5,SSF
18072021/SCW6070_20210718_085800.wav,18/07/2021,8:58,0,1,0,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_085900.wav,18/07/2021,8:59,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090000.wav,18/07/2021,9:0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090100.wav,18/07/2021,9:1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090200.wav,18/07/2021,9:2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090500.wav,18/07/2021,9:5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090600.wav,18/07/2021,9:6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090700.wav,18/07/2021,9:7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_090800.wav,18/07/2021,9:8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_091100.wav,18/07/2021,9:11,0,1,0,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_091200.wav,18/07/2021,9:12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_091300.wav,18/07/2021,9:13,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_091400.wav,18/07/2021,9:14,0,0,0,0,0,1,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_091600.wav,18/07/2021,9:16,0,1,0,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_091700.wav,18/07/2021,9:17,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_100500.wav,18/07/2021,10:5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_100600.wav,18/07/2021,10:6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_100700.wav,18/07/2021,10:7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,DC70,12,SSF
18072021/SCW6070_20210718_100800.wav,18/07/2021,10:8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,DC70,12,SSF
,,,,,,,,,,,,,,,,,,,
TOTAUX,,,11,11,14,32,13,14,1,12,84,0,11,0,85,63,,,
,,,,,,,,,,,,,,,,,,,
NOMBRE,NOMBRE D'AUDIOS,96,,,96,,,,,,96,,,96,,,,,
